year,title,total,budget,studio
1999,American Pie,101.74,11,Universal
1999,Sleepy Hollow,101.07,65,Paramount
1999,Inspector Gadget,97.36,75,Disney
1999,The Haunting,91.19,80,DreamWorks
1999,Entrapment,87.7,66,20th Century Fox
1999,Pokemon: The Movie,85.75,30,Warner Brothers
1999,Payback,81.52,50,Paramount
1999,The Talented Mr Ripley,81.3,40,Paramount
1999,Any Given Sunday,75.53,62,Warner Brothers
1999,Deep Blue Sea,73.65,78,Warner Brothers
1999,Galaxy Quest,71.58,45,DreamWorks
1999,Thomas Crown,69.31,48,United Artists
1999,Blue Streak,68.21,36,Columbia
1999,End of Days,66.89,83,Universal
1999,Bone Collector,66.52,48,Universal
1999,Bowfinger,66.37,55,Universal
1999,Deuce Bigalow,65.54,18,Touchstone
1999,Life,63.89,75,Universal
1999,Tango & Cash,63.41,,Warner Brothers
1999,She's All That,63.37,10,Miramax
1999,Fantasia 2000,60.66,80,Disney
1999,Three Kings,60.65,48,Warner Brothers
1999,Bicentennial Man,58.22,100,Touchstone
1999,Cider House Rules,57.55,24,Miramax
1999,Eyes Wide Shut,55.66,65,Warner Brothers
1999,Never Been Kissed,55.48,25,20th Century Fox
1999,Varsity Blues,52.89,16,Paramount
1999,Forces of Nature,52.89,75,DreamWorks
1999,Message in a Bottle,52.82,30,Warner Brothers
1999,South Park,52.04,21,Paramount
1999,Stigmata,50.05,32,MGM
1999,House on Haunted Hill,40.85,19,Warner Brothers
1999,Anna & the King,39.26,75,20th Century Fox
1999,Cruel Intentions,38.2,11,Columbia
1999,Fight Club,37.03,63,20th Century Fox
1999,My Favorite Martian,36.85,60,Disney
2000,The Grinch,260.031,123,Universal
2000,Cast Away,233.63,90,20th Century Fox
2000,Mission: Impossible II,215.41,125,Paramount
2000,Gladiator,187.684,103,Universal
2000,What Women Want,182.805,65,Paramount
2000,The Perfect Storm,182.618,120,Warner Brothers
2000,Meet the Parents,166.244,55,Universal
2000,X-Men,157.3,75,20th Century Fox
2000,Scary Movie,156.997,19,Dimension
2000,What Lies Beneath,155.37,90,20th Century Fox
2000,Dinosaur,137.75,127.5,Disney
2000,Crouching Tiger,128.07,15,Sony Classics
2000,Erin Brockovich,125.55,51,Universal
2000,Charlie's Angels,125.31,92,Columbia
2000,Traffic,124.11,48,USA Films
2000,The Klumps,123.31,84,Universal
2000,Big Momma's House,117.56,30,20th Century Fox
2000,Remember The Titans,115.65,30,Disney
2000,The Patriot,113.33,110,Columbia
2000,Miss Congeniality,106.81,45,Warner Brothers
2000,Chicken Run,106.6,42,DreamWorks
2000,Gone in 60 Seconds,101.64,90,Touchstone
2000,Unbreakable,95,73.2,Disney
2000,"Me, Myself & Irene",90.57,51,20th Century Fox
2000,Space Cowboys,90.45,65,Warner Brothers
2000,Emperor's New Groove,89.3,100,Disney
2000,Scream 3,89.14,40,Dimension
2000,U-571,77.09,62,Universal
2000,Rugrats in Paris,76.51,30,Paramount
2000,The Family Man,75.79,60,Universal
2000,Hollow Man,73.21,95,Columbia
2000,Chocolat,71.31,25,Miramax
2000,Shaft,70.33,46,Paramount
2000,The Kid,69.69,65,Disney
2000,Vertical Limit,69.24,75,Columbia
2000,Road Trip,68.54,15.5,DreamWorks
2000,Bring It On,68.38,10,Universal
2000,102 Dalmatians,66.96,85,Disney
2000,Rules of Engagement,61.34,60,Paramount
2000,The Cell,61.33,33,New Line
2000,Mission to Mars,60.88,90,Touchstone
2000,Coyote Ugly,60.79,45,Touchstone
2000,Snow Day,60.01,13,Paramount
2000,Whole Nine Yards,57.26,24,Warner Brothers
2000,Shanghai Noon,56.94,55,Touchstone
2000,Romeo Must Die,55.97,25,Warner Brothers
2000,Final Destination,53.33,23,New Line
2000,Finding Forrester,51.81,43,Columbia
2000,Road To El Dorado,50.86,95,DreamWorks
